ref=/home/agent/host/claude1/cpp/opencv/examples/ramp_256x256.png
dither=/home/agent/host/claude1/cpp/opencv/build/dither
colstats=/home/agent/host/claude1/cpp/opencv/colstats

test                                                worst |z|    avg |z|  fails  result
---------------------------------------------------------------------------------------
identity sanity check                                   0.000      0.000      0  PASS
round   defaults (spatial=1)                            2.697      0.637      0  PASS
random  spatial=0                                       2.747      0.722      0  PASS
random  spatial=0 lin                                   2.977      0.784      0  PASS
random  levels=8 spatial=0                              1.534      0.132      0  PASS
random  levels=8 spatial=0 lin                          1.040      0.135      0  PASS
random  frames=16 spatial=0                             0.435      0.089      0  PASS
random  frames=64 spatial=0                             0.360      0.050      0  PASS
random  frames=128 spatial=0                            0.375      0.043      0  PASS
random  spatial=1                                       2.266      0.657      0  PASS
random  frames=16 spatial=1                             2.809      0.120      0  PASS
random  frames=16 spatial=0.5                           1.954      0.312      0  PASS
random  frames=128 spatial=0.1                          0.398      0.053      0  PASS
round   spatial=0                                      15.908      7.219    200  EXPECTED <= 200
round   levels=16 spatial=0                             4.386      0.775      7  EXPECTED <= 7
round   levels=16 spatial=0 lin                         2.879      0.769      0  PASS
round   frames=64 spatial=0                             1.508      0.276      0  PASS
round   spatial=1 lin                                   3.275      0.697      1  EXPECTED <= 1
round   frames=16 spatial=1                             2.333      0.197      0  PASS
round   frames=16 spatial=0.5                           2.333      0.197      0  PASS
round   levels=4 spatial=1                              2.410      0.388      0  PASS
round   levels=8 frames=4 spatial=1                     1.516      0.113      0  PASS
blue    spatial=0                                       2.322      0.641      0  PASS
blue    frames=16 spatial=0                             0.425      0.083      0  PASS
blue    frames=128 spatial=0                            0.344      0.043      0  PASS
blue    mask=32x32 spatial=0                            4.782      1.563     20  EXPECTED <= 23
blue    mask=128x128 spatial=0                          4.310      0.948      4  EXPECTED <= 4
blue    seed=7 sigma=2.5 spatial=0                      2.304      0.627      0  PASS
---------------------------------------------------------------------------------------
OVERALL PASS                                            32.18       6.16      0   
